iter	Passed	Remaining
0	0	867
1	1	839
2	2	779
3	2	740
4	3	686
5	3	652
6	4	621
7	4	598
8	5	569
9	5	545
10	5	529
11	6	522
12	6	512
13	7	506
14	7	500
15	7	491
16	8	482
17	8	478
18	9	471
19	9	465
20	9	462
21	10	460
22	10	457
23	11	454
24	11	450
25	11	447
26	12	444
27	12	441
28	13	439
29	13	437
30	13	436
31	14	438
32	14	437
33	15	435
34	15	433
35	16	432
36	16	433
37	17	437
38	17	438
39	18	438
40	18	437
41	19	437
42	19	436
43	20	435
44	20	434
45	20	434
46	21	437
47	22	437
48	22	436
49	22	435
50	23	435
51	23	433
52	24	432
53	24	431
54	25	430
55	25	429
56	25	428
57	26	427
58	26	426
59	27	425
60	27	423
61	27	422
62	28	421
63	28	420
64	29	419
65	29	418
66	29	416
67	30	415
68	30	414
69	31	413
70	31	416
71	32	418
72	33	420
73	33	419
74	33	418
75	34	417
76	34	417
77	35	416
78	35	415
79	36	414
80	36	414
81	36	413
82	37	410
83	37	409
84	37	407
85	38	406
86	38	405
87	39	404
88	39	403
89	39	402
90	40	400
91	40	400
92	40	399
93	41	398
94	41	397
95	42	396
96	42	395
97	42	394
98	43	393
99	43	392
100	43	391
101	44	390
102	44	389
103	45	388
104	45	387
105	45	386
106	46	385
107	46	385
108	47	384
109	47	385
110	48	385
111	48	384
112	48	384
113	49	383
114	49	383
115	50	382
116	50	381
117	50	380
118	51	379
119	51	378
120	52	378
121	52	376
122	52	376
123	53	376
124	53	375
125	54	374
126	54	373
127	54	372
128	55	371
129	55	371
130	55	370
131	56	369
132	56	368
133	57	368
134	57	367
135	57	366
136	58	365
137	58	364
138	58	364
139	59	363
140	59	362
141	59	360
142	60	359
143	60	359
144	60	358
145	61	357
146	61	357
147	61	356
148	62	356
149	62	356
150	63	356
151	63	356
152	64	357
153	64	356
154	65	356
155	65	355
156	66	354
157	66	354
158	66	353
159	67	353
160	67	351
161	67	351
162	68	350
163	68	349
164	68	349
165	69	348
166	69	348
167	70	347
168	70	346
169	70	345
170	71	345
171	71	344
172	71	343
173	72	343
174	72	342
175	73	341
176	73	341
177	73	340
178	74	340
179	74	339
180	74	338
181	75	337
182	75	337
183	75	336
184	76	335
185	77	339
186	78	340
187	78	339
188	79	339
189	79	338
190	79	338
191	80	337
192	80	338
193	81	337
194	81	337
195	82	336
196	82	336
197	82	335
198	83	335
199	83	334
200	83	333
201	84	333
202	84	332
203	85	331
204	85	331
205	85	330
206	86	330
207	86	329
208	86	328
209	87	328
210	87	327
211	87	326
212	88	326
213	88	325
214	89	325
215	89	324
216	89	324
217	90	323
218	90	322
219	90	322
220	91	321
221	91	320
222	91	320
223	92	320
224	93	321
225	93	321
226	94	321
227	94	320
228	95	320
229	95	319
230	95	319
231	96	318
232	96	318
233	96	317
234	97	316
235	97	316
236	98	315
237	98	315
238	98	314
239	99	313
240	99	313
241	99	312
242	100	312
243	100	311
244	100	311
245	101	310
246	101	310
247	102	309
248	102	308
249	102	308
250	103	307
251	103	307
252	103	306
253	104	306
254	104	305
255	104	304
256	105	304
257	105	304
258	106	304
259	106	303
260	107	303
261	107	303
262	108	304
263	108	303
264	109	303
265	109	303
266	110	302
267	110	302
268	111	301
269	111	301
270	111	301
271	112	300
272	112	300
273	113	299
274	113	299
275	113	298
276	114	298
277	114	298
278	115	297
279	115	297
280	116	296
281	116	296
282	116	295
283	117	295
284	117	295
285	117	294
286	118	294
287	118	293
288	119	293
289	119	292
290	119	292
291	120	291
292	120	291
293	121	290
294	121	290
295	121	289
296	122	289
